wavelength,intensity1,intensity2,intensity3
394.496,117.909,197.275,143.423
394.67,228.329,227.032,272.434
394.844,155.196,132.302,184.897
395.018,217.488,128.986,220.567
395.192,191.975,232.421,168.922
395.366,268.01,179.666,157.923
395.54,301.925,218.014,365.6
395.714,90.959,169.204,145.276
395.888,78.642,215.359,190.155
396.062,271.043,260.176,180.402
396.236,164.601,244.307,174.515
396.41,168.341,250.346,231.419
396.584,189.693,171.861,234.152
396.758,355.926,209.463,278.174
396.932,203.675,124.906,178.954
397.106,203.825,208.361,169.654
397.28,248.491,191.728,248.101
397.454,214.035,171.749,210.355
397.628,379.277,333.686,363.725
397.802,319.262,207.569,209.84
397.976,202.051,222.447,203.777
398.149,209.159,171.567,116.83
398.323,188.959,211.996,189.713
398.497,154.519,109.468,253.447
398.671,221.018,272.084,271.847
398.845,136.216,212.782,179.998
399.019,134.392,232.578,212.466
399.193,285.598,173.918,246.415
399.367,186.327,160.846,161.758
399.541,203.191,186.436,188.564
399.715,331.989,198.872,227.006
399.889,175.696,118.914,157.523
400.063,278.07,185.007,210.01
400.237,155.557,186.952,247.721
400.411,164.865,212.815,230.875
400.585,172.729,192.497,133.654
400.759,279.397,214.633,165.914
400.932,333.775,294.873,361.256
401.106,83.891,179.358,129.813
401.28,221.895,209.318,218.139
401.454,233.293,120,175.84
401.628,101.616,143.063,251.091
401.802,208.679,172.69,102.832
401.976,235.659,154.254,219.66
402.15,101.548,186.918,156.709
402.324,182.379,172.702,171.546
402.498,241.83,233.868,213.046
402.672,190.912,158.391,176.528
402.846,295.752,315.804,355.918
403.02,199.882,284.018,256.08
403.193,164.045,81.554,149.484
403.367,238.738,214.048,147.267
403.541,201.266,157.469,230.411
403.715,178.037,149.402,156.281
403.889,218.137,159.826,195.581
404.063,208.404,223.283,183.109
404.237,267.611,264.065,260.405
404.411,333.893,237.109,265.57
404.585,186.586,247.857,167.602
404.759,106.416,173.558,152.799
404.933,268.007,285.423,238.07
405.106,211.018,177.133,198.782
405.28,206.639,132.226,180.566
405.454,268.477,246.981,143.69
405.628,181.726,152.503,194.459
405.802,230.714,254.192,298.911
405.976,171.375,130.992,219.111
406.15,122.988,172.882,149.197
406.324,263.044,229.357,264.866
406.498,154.151,253.957,216.29
406.672,219.802,195.538,268.841
406.846,349.68,211.998,128.492
407.019,243.9,254.843,315.463
407.193,155.116,139.847,152.92
407.367,105.031,202.152,175.402
407.541,152.146,160.07,237.176
407.715,197.386,167.824,187.594
407.889,220.491,101.897,177.637
408.063,304.261,350.41,238.286
408.237,168.836,164.457,223.913
408.411,149.525,189.691,117.388
408.585,145.874,221.554,231.65
408.758,123.797,258.264,194.077
408.932,151.225,237.738,183.776
409.106,161.954,71.442,114.908
409.28,287.985,270.212,211.82
409.454,179.676,186.156,162.828
409.628,268.267,201.004,266.907
409.802,211.629,221.784,260.582
409.976,245.236,221.242,262.757
410.149,100.803,240.721,158.508
410.323,268.039,260.364,249.343
410.497,173.327,211.975,227.252
410.671,235.404,248.882,258.846
410.845,198.895,241.782,273.57
411.019,246.974,118.647,257.002
411.193,197.645,165.865,251.555
411.367,243.708,179.102,255.585
411.541,277.62,220.898,231.557
411.714,220.303,264.916,329.427
411.888,63.53,109.051,156.797
412.062,243.386,238.455,232.205
412.236,360.321,341.565,279.237
412.41,187.693,205.022,261.232
412.584,204.815,229.091,207.541
412.758,172.953,241.703,127.449
412.932,321.492,224.745,317.535
413.105,295.671,297.926,251.171
413.279,246.712,244.392,260.665
413.453,202.979,207.05,225.662
413.627,186.159,154.707,205.049
413.801,254.582,203.73,227.875
413.975,210.139,210.032,281.263
414.149,238.296,254.338,264.222
414.322,337.849,234.884,152.169
414.496,248.911,234.747,312.844
414.67,283.446,211.55,225.053
414.844,197.623,180.565,200.464
415.018,174.136,168.847,93.065
415.192,287.14,296.189,312.003
415.366,149.832,238.441,272.592
415.539,229.607,184.698,275.076
415.713,136.92,121.449,80.648
415.887,171.511,175.738,341.729
416.061,254.055,184.989,127.141
416.235,351.358,275.188,256.473
416.409,151.973,214.405,184.344
416.583,229.872,104.727,317.185
416.756,327.245,282.948,319.361
416.93,254.581,186.513,201.628
417.104,261.038,224.446,309.265
417.278,256.075,164.718,228.788
417.452,277.07,244.792,204.903
417.626,237.414,164.633,210.852
417.8,226.43,225.311,283.638
417.973,294.007,354.539,297.668
418.147,252.69,310.999,278.668
418.321,239.407,285.913,286.733
418.495,248.549,245.398,187.41
418.669,197.368,257.416,171.984
418.843,303.44,250.118,316.174
419.016,262.799,238.345,269.995
419.19,222.506,209.255,275.762
419.364,325.338,272.611,319.387
419.538,271.37,234.426,289.978
419.712,292.095,317.406,335.497
419.886,231.016,251.347,238.869
420.06,300.985,353.301,300.645
420.233,350.221,372.446,247.359
420.407,408.137,340.983,332.249
420.581,263.196,304.754,254.374
420.755,389.06,267.202,348.498
420.929,196.876,247.883,189.083
421.103,283.537,275.31,273.07
421.276,234.106,224.196,321.048
421.45,288.509,386.657,313.999
421.624,298.92,297.796,347.263
421.798,238.47,285.985,210.376
421.972,358.8,340.628,296.684
422.145,352.522,311.874,340.04
422.319,261.858,298.986,244.496
422.493,311.143,292.456,311.811
422.667,212.039,226.306,333.411
422.841,313.057,282.17,331.03
423.015,258.85,294.757,252.701
423.188,329.077,345.382,404.679
423.362,297.074,346.102,283.441
423.536,377.068,390.286,396.748
423.71,364.511,374.516,414.743
423.884,302.387,342.049,351.547
424.057,367.948,396.767,425.491
424.231,357.617,373.151,515.665
424.405,419.798,468.41,397.145
424.579,369.662,383.786,344.7
424.753,462.672,407.104,497.914
424.927,439.705,485.469,460.867
425.1,458.969,442.436,369.76
425.274,354.745,428.941,472.499
425.448,343.07,465.19,463.146
425.622,456.555,438.859,512.081
425.796,326.252,406.549,507.853
425.969,414.637,414.533,435.187
426.143,439.134,506.089,463.57
426.317,467.579,487.342,500.051
426.491,409.755,412.469,360.638
426.665,500.81,550.353,438.138
426.838,543.989,538.328,382.446
427.012,534.729,404.132,534.392
427.186,392.095,583.067,511.454
427.36,570.706,550.629,546.627
427.534,459.992,496.753,430.39
427.707,479.827,514.593,491.144
427.881,428.706,498.952,485.864
428.055,618.722,655.627,617.288
428.229,637.99,541.257,636.636
428.403,603.361,570.2,663.968
428.576,601.189,599.096,552.229
428.75,596.9,648.889,568.7
428.924,687.636,702.56,706.36
429.098,680.989,583.818,614.475
429.272,600.64,536.194,579.208
429.445,588.967,612.9,555.01
429.619,630.582,589.5,667.541
429.793,628.434,651.287,687.437
429.967,755.175,768.844,807.855
430.141,655.196,673.247,724.494
430.314,860.566,805.241,893.143
430.488,745.453,693.762,829.574
430.662,749.09,729.026,657.541
430.836,743.638,727.718,722.571
431.009,726.928,790.87,840.59
431.183,765.048,788.177,639.307
431.357,748.529,844.999,883.62
431.531,890.745,898.464,801.424
431.705,805.233,803.267,827.31
431.878,769.173,811.534,797.495
432.052,988.636,1054.747,940.711
432.226,898.746,858.61,876.522
432.4,848.898,851.654,928.674
432.573,912.185,917.973,1007.167
432.747,893.522,941.685,969.063
432.921,896.593,896.491,980.579
433.095,997.488,899.225,962.717
433.269,903.965,888.642,914.429
433.442,979.25,1004.214,1035.831
433.616,975.748,1005.909,1040.563
433.79,983.999,968.831,1015.563
433.964,1016.297,1053.319,1030.157
434.137,1010.596,1141.275,1075.697
434.311,1130.757,1162.551,1115.951
434.485,1132.643,1102.553,1112.666
434.659,1184.552,1172.472,1126.203
434.832,1217.611,1306.305,1211.888
435.006,1178.941,1131.729,1117.043
435.18,1199.417,1186.126,1171.868
