wavelength,intensity1,intensity2,intensity3
394.67,301.311,266.145,271.606
394.844,167.989,107.883,141.709
395.018,180.019,215.547,197.948
395.192,203.139,183.99,160.917
395.366,249.025,179.04,152.858
395.54,278.954,254.257,188.549
395.714,140.813,137.673,102.274
395.888,171.337,125.676,151.377
396.062,156.4,253.101,180.717
396.236,252.161,182.52,198.914
396.41,212.342,234.687,186.979
396.584,199.698,192.834,201.902
396.758,165.414,119.764,249.851
396.932,181.913,130.907,174.847
397.106,154.119,247.312,182.816
397.28,161.521,179.931,189.369
397.454,314.296,275.408,165.185
397.628,300.181,306.436,249.197
397.802,270.272,270.215,292.609
397.976,142.944,212.622,22.586
398.149,252.709,167.5,210.267
398.323,222.432,155.117,225.321
398.497,189.222,152.52,20.905
398.671,177.058,158.805,169.801
398.845,110.68,200.724,173.569
399.019,144.725,162.348,165.292
399.193,196.305,79.852,228.582
399.367,238.601,187.836,257.757
399.541,150.172,159.619,194.849
399.715,266.605,253.635,300.973
399.889,122.549,124.6,125.299
400.063,79.979,155.654,243.62
400.237,186.407,184.328,143.336
400.411,169.051,189.19,125.437
400.585,109.476,154.153,106.118
400.759,280.961,178.18,163.943
400.932,154.895,296.591,204.109
401.106,163.391,118.124,183.556
401.28,256.261,201.866,208.281
401.454,125.779,187.08,94.703
401.628,182.165,135.737,167.303
401.802,230.156,149.918,137.96
401.976,110.335,89.966,148.788
402.15,247.388,210.698,149.262
402.324,219.093,250.639,129.707
402.498,136.142,224.461,150.496
402.672,192.375,155.602,39.667
402.846,289.425,125.744,230.721
403.02,195.494,119.599,232.356
403.193,127.792,156.223,195.548
403.367,142.834,141.763,242.809
403.541,185.456,213.908,94.858
403.715,158.267,192.657,142.376
403.889,104.238,152.862,92.197
404.063,129.826,181.736,77.491
404.237,246.344,164.166,177.473
404.411,181.3,158.943,173.461
404.585,106.949,188.021,210.677
404.759,135.323,160.354,186.195
404.933,215.791,271.634,221.951
405.106,276.938,225.233,263.646
405.28,146.556,171.279,136.273
405.454,212.383,304.047,203.111
405.628,144.938,155.935,229.889
