lambda,T_skim_2ml,T_half_full,T_full
403.247,22.161,54.803,130.355
403.418,0,40.339,132.879
403.588,0,71.99,173.531
403.759,0,74.094,194.746
403.93,0,66.034,205.736
404.1,0,51.059,197.454
404.271,0,64.587,233.385
404.442,0,60.84,175.055
404.613,20.162,72.379,155.835
404.783,33.472,70.068,146.831
404.954,28.812,79.323,163.053
405.125,27.438,81.765,170.005
405.296,17.791,74.477,216.711
405.466,0.665,66.962,226.433
405.637,36.069,80.117,174.629
405.808,42.78,78.244,175.428
405.979,47.14,78.401,151.67
406.149,49.336,86.403,149.558
406.32,41.33,77.518,141.904
406.491,34.405,69.21,140.451
406.662,35.23,61.213,136.105
406.832,24.51,52.008,120.781
407.003,6.877,35.37,129.487
407.174,0,15.66,226.199
407.345,0,0,224.92
407.515,0,0,356.142
407.686,0,0,262.802
407.857,0,0,165.201
408.028,0,0,137.37
408.198,12.181,4.43,120.02
408.369,37.714,10.508,114.577
408.54,54.33,23.242,113.904
408.711,62.715,25.73,110.336
408.882,65.626,15.604,118.58
409.052,69.219,30.717,126.914
409.223,76.413,41.326,137.038
409.394,84.319,48.555,134.243
409.565,84.373,58.875,136.124
409.735,87.088,60.48,130.67
409.906,91.212,51.621,126.439
410.077,88.363,51.948,115.276
410.248,88.419,48.5,114.941
410.419,87.32,40.397,126.736
410.589,86.11,40.952,119.007
410.76,86.414,41.27,124.041
410.931,88.142,34.594,123.459
411.102,91.198,32.985,135.692
411.273,97.093,32.552,140.588
411.443,83.157,30.405,131.007
411.614,76.419,25.48,120.318
411.785,67.098,25.305,101.842
411.956,58.184,19.488,97.145
412.127,53.698,19.172,94.775
412.297,53.587,24.393,83.671
412.468,56.179,15.216,78.934
412.639,48.723,10.134,74.674
412.81,46.854,5.196,65.72
412.981,47.038,5.915,68.007
413.151,52.968,21.751,68.736
413.322,54.875,20.969,67.952
413.493,59.97,21.367,60.743
413.664,62.043,19.492,56.25
413.835,66.579,18.724,51.886
414.006,67.716,11.652,41.416
414.176,67.495,20.464,40.539
414.347,69.592,19.038,44.257
414.518,69.635,27.383,54.267
414.689,67.552,32.678,54.649
414.86,67.957,35.579,59.972
415.031,66.844,42.852,62.058
415.201,63.741,40.451,61.234
415.372,59.804,39.782,57.549
415.543,55.003,38.903,54.911
415.714,55.517,35.495,57.112
415.885,50.014,32.149,58.87
416.056,46.778,27.588,52.821
416.226,46.16,22.12,50.875
416.397,48.442,25.14,50.917
416.568,45.687,15.043,48.57
416.739,45.119,6.01,46.186
416.91,41.717,0,33.599
417.081,41.191,0,33.298
417.252,48.695,0,43.804
417.422,51.967,0,47.066
417.593,56.966,0,41.299
417.764,60.764,0,39.24
417.935,60.795,0,45.67
418.106,62.247,0.159,43.762
418.277,64.158,14.811,46.7
418.448,60.322,13.705,46.255
418.618,53.535,12.436,43.738
418.789,50.482,11.344,42.768
418.96,44.865,5.355,36.678
419.131,44.701,3.621,33.647
419.302,40.92,0,26.533
419.473,43.161,3.897,30.258
419.644,43.48,1.392,29.8
419.815,44.749,0.933,32.184
419.985,49.371,6.87,35.51
420.156,45.613,3.268,29.815
420.327,47.641,4.118,32.175
420.498,51.31,8.746,35.075
420.669,46.112,2.701,28.393
420.84,44.97,0,25.65
421.011,43.576,0,23.317
421.182,46.765,0,31.131
421.353,50.4,0,34.579
421.523,52.396,0,30.421
421.694,52.144,0,20.022
421.865,57.055,0,24.18
422.036,55.697,0,24.962
422.207,56.507,0,22.6
422.378,56.299,0,19.316
422.549,55.033,0,17.935
422.72,57.758,0,17.07
422.891,57.799,0,20.145
423.062,57.534,0,16.046
423.233,57.912,0,16.062
423.403,57.576,0,15.364
423.574,61.308,0,22.612
423.745,62.285,2.154,26.931
423.916,65.285,5.205,30.16
424.087,68.54,9.584,35.249
424.258,65.936,6.983,33.278
424.429,70.238,12.929,37.046
424.6,68.418,12.994,37.42
424.771,62.209,6.332,32.609
424.942,66.132,5.792,35.738
425.113,65.221,4.355,33.553
425.284,65.976,2.733,33.627
425.455,66.181,0,28.82
425.626,64.495,0,24.764
425.796,63.449,0,22.206
425.967,63.241,0,20.584
426.138,62.628,0,19.316
426.309,63.866,2.138,20.393
426.48,65.866,5.556,20.02
426.651,63.309,3.23,16.029
426.822,61.79,1.268,14.455
426.993,59.337,0,10.184
427.164,56.632,0,3.287
427.335,54.961,0,0
427.506,59.104,0,3.855
427.677,59.189,0,4.137
427.848,58.069,0,3.453
428.019,59.517,0,2.418
428.19,57.363,0,0
428.361,54.346,0,0
428.532,55.893,0,0
428.703,54.383,0,0
428.874,54.543,0,0
429.045,58.722,0,0
429.216,56.697,0,0
429.387,57.804,0,0
429.558,57.682,0,0
429.729,57.54,0,0
429.899,59.083,0,0
430.07,56.67,0,0
430.241,58.453,0,2.391
430.412,57.531,0,0.834
430.583,56.692,0,0
430.754,54.319,0,0
430.925,54.715,0,0
431.096,56.242,0,0
431.267,56.094,0,0
431.438,59.357,0,0
431.609,60.576,0,2.789
431.78,59.897,0,1.403
431.951,59.366,0,2.485
432.122,57.747,0,1.07
432.293,56.309,0,0
432.464,57.988,0,0.154
432.635,60.125,0,1.657
432.806,59.51,0,0.521
432.977,59.801,0,0.18
433.148,60.256,0,0
433.319,60.046,0,0
433.49,60.027,0,0.574
433.661,59.645,0,0
433.832,58.295,0,0
434.003,55.995,0,0
434.174,52.801,0,0
434.346,52.317,0,0
434.517,49.748,0,0
434.688,49.458,0,0
434.859,51.263,0,0
435.03,50.705,0,0
435.201,53.271,0,0
435.372,54.565,0,0
435.543,54.91,0,0
435.714,53.465,0,0
435.885,53.489,0,0
436.056,52.084,0,0
436.227,52.445,0,0
436.398,54.826,0,0
436.569,56.404,0,0
436.74,57.372,0,0
436.911,58.154,0,0
437.082,59.815,0,0
437.253,61.849,0,0
437.424,63.231,0,0
437.595,62.969,0,0
437.766,62.71,0,0
437.937,61.89,0,0
438.108,59.909,0,0
438.279,58.255,0,0
438.451,58.53,0,0
438.622,58.462,0,0
438.793,58.514,0,0
438.964,57.604,0,0
439.135,56.124,0,0
439.306,56.896,0,0
439.477,55.972,0,0
439.648,55.357,0,0
439.819,55.511,0,0
439.99,54.78,0,0
440.161,56.033,0,0
440.332,58.333,0,0
440.503,59.012,0,0
440.674,59.42,0,0
440.846,60.088,0,0
441.017,60.762,0,0
441.188,60.986,0,0
441.359,62.067,0,0
441.53,62.619,0,0
441.701,62.085,0,0
441.872,62.666,0,0
442.043,61.483,0,0
442.214,61.263,0,0
442.385,61.593,0,0
442.556,62.119,0,0
442.728,62.041,0,0
442.899,61.907,0,0
443.07,61.884,0,0
443.241,62.36,0,0
443.412,62.714,0,0
443.583,63.158,0,0
443.754,63.726,0,0
443.925,63.211,0,0
444.096,64.419,0,0
444.268,65.597,0,0
444.439,65.786,0,0
444.61,64.817,0,0
444.781,64.564,0,0
444.952,64.872,0,0
445.123,64.221,0,0
445.294,64.32,0,0
445.465,64.465,0,0
445.637,63.87,0,0
445.808,63.923,0,0
445.979,64.113,0,0
446.15,63.114,0,0
446.321,63.272,0,0
446.492,62.6,0,0
446.663,62.734,0,0
446.835,62.581,0,0
447.006,62.743,0,0
447.177,63.168,0,0
447.348,63.065,0,0
447.519,63.129,0,0
447.69,62.75,0,0
447.861,62.564,0,0
448.033,63.07,0,0
448.204,64.226,0,0
448.375,63.226,0,0
448.546,63.094,0,0
448.717,63.273,0,0
448.888,64.046,0,0
449.06,64.38,0,0
449.231,64.267,0,0
449.402,64.998,0,0
449.573,64.483,0,0
449.744,64.151,0,0
449.915,65.031,0,0
450.087,64.663,0,0
450.258,64.309,0,0
450.429,64.011,0,0
450.6,63.629,0,0
450.771,64.165,0,0
450.942,64.085,0,0
451.114,65.19,0,0
451.285,65.133,0,0
451.456,64.995,0,0
451.627,64.934,0,0
451.798,64.827,0,0
451.97,64.962,0,0
452.141,65.449,0,0
452.312,65.66,0,0
452.483,65.197,0,0
452.654,66.183,0,0
452.826,66.317,0,0
452.997,66.906,0,0
453.168,67.127,0,0
453.339,67.237,0,0
453.51,67.247,0,0
453.682,67.105,0,0
453.853,66.947,0,0
454.024,66.9,0,0
454.195,65.961,0,0
454.366,65.232,0,0
454.538,65.252,0,0
454.709,65.883,0,0
454.88,66.153,0,0
455.051,66.55,0,0
455.223,66.858,0,0
455.394,66.693,0,0
455.565,66.825,0,0
455.736,66.758,0,0
455.907,66.866,0,0
456.079,66.946,0,0
456.25,67.564,0,0
456.421,67.265,0,0
456.592,67.422,0,0
456.764,67.782,0,0
456.935,67.833,0,0
457.106,68.245,0,0
457.277,68.028,0,0
457.449,67.431,0,0
457.62,67.104,0,0
457.791,66.8,0,0
457.962,66.098,0,0
458.134,65.411,0,0
458.305,65.102,0,0
458.476,65.748,0,0
458.647,66.382,0,0
458.819,66.975,0,0
458.99,67.098,0,0
459.161,67.295,0,0
459.332,67.2,0,0
459.504,67.138,0,0
459.675,67.233,0,0
459.846,67.478,0,0
460.018,67.65,0,0
460.189,67.808,0,0
460.36,68.178,0,0
460.531,68.238,0,0
460.703,68.975,0,0
460.874,69.284,0,0
461.045,69.714,0,0
461.216,69.579,0,0
461.388,69.36,0,0
461.559,69.364,0,0
461.73,69.7,0,0
461.902,69.936,0,0
462.073,69.638,0,0
462.244,69.226,0,0
462.415,69.398,0,0
462.587,69.159,0,0
462.758,68.914,0,0
462.929,69.182,0,0
463.101,68.839,0,0
463.272,68.372,0,0
463.443,68.012,0,0
463.615,67.904,0,0
463.786,68.516,0,0
463.957,68.648,0,0
464.129,68.454,0,0
464.3,68.63,0,0
464.471,68.582,0,0
464.642,68.965,0,0
464.814,69.223,0,0
464.985,69.748,0,0
465.156,70.037,0,0
465.328,69.994,0,0
465.499,70.032,0,0
465.67,70.25,0,0
465.842,70.147,0,0
466.013,70.001,0,0
466.184,69.735,0,0
466.356,69.415,0,0
466.527,69.455,0,0
466.698,69.183,0,0
466.87,69.231,0,0
467.041,69.376,0,0
467.212,69.378,0,0
467.384,69.13,0,0
467.555,68.842,0,0
467.726,69.007,0,0
467.898,69.506,0,0
468.069,69.114,0,0
468.24,68.83,0,0
468.412,69.044,0,0
468.583,69.095,0,0
468.754,69.733,0,0
468.926,69.821,0,0
469.097,70.147,0,0
469.269,70.2,0,0
469.44,70.171,0,0
469.611,70.322,0,0
469.783,70.48,0,0
469.954,70.517,0,0
470.125,70.945,0,0
470.297,70.943,0,0
470.468,71.028,0,0
470.64,71.062,0,0
470.811,71.242,0,0
470.982,71.046,0,0
471.154,71.232,0,0
471.325,70.878,0,0
471.496,70.664,0,0
471.668,70.828,0,0
471.839,71.052,0,0
472.011,71.4,0,0
472.182,71.452,0,0
472.353,71.428,0,0
472.525,71.496,0,0
472.696,71.372,0,0
472.867,71.289,0,0
473.039,71.34,0,0
473.21,71.483,0,0
473.382,71.837,0,0
473.553,71.714,0,0
473.724,71.876,0,0
473.896,71.865,0,0
474.067,72.078,0,0
